vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index
insdc_accession_id,Accession,"GenBank Accession ID = NCBI Accession, ENA, DDBJ (INSDC)",keyword,public,insdc_accession_id,genbank_accession_number,N/A,N/A,N/A,N/A,N/A,Accession,GenBank Accessions,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['NCBI Virus', 'BV-BRC', 'Organizational', 'Identifiers']",NCBI Virus|BVBRC,N/A,N/A,N/A,Accession,"A unique identifier (Nucleotide, Protein or Assembly Accession, depending on the selected tab) assigned to the sequence record in GenBank.",N/A,N/A,DB Cross Reference,N/A,genbank_accessions,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0aa
assembly_accession_id,Assembly Accession,Assembly ID of the sequence (INSDC),keyword,public,assembly_accession_id,assembly_accession,N/A,N/A,N/A,N/A,N/A,Assembly,Assembly Accession,N/A,N/A,ENA Analysis,VJDB Analysis,Organizational,Identifiers,N/A,"['NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']",NCBI Virus|BVBRC,N/A,N/A,N/A,Assembly,"NCBI Virus Assembly accession number. For more information about NCBI Virus assembly, see Data Model, Type of Data and Dataflow section.",N/A,N/A,DB Cross Reference,N/A,assembly_accession,string,N/A,without version,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0ab
bioproject_accession_id,Bioproject Accession,References the BioProject Accession (ID) (INSDC),keyword,public,bioproject_accession_id,bioproject,study accession,N/A,N/A,N/A,N/A,BioProject,BioProject Accession,N/A,N/A,ENA Study,N/A,Organizational,Identifiers,N/A,"['ENA', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Study', 'Identifiers']",NCBI Virus|BVBRC,N/A,N/A,N/A,BioProject,The BioProject accession number associated with the sequence.,N/A,N/A,DB Cross Reference,N/A,bioproject_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,text,unique,0ac
biosample_accession_id,Biosample Accession,References the BioSample Accession (ID) (INSDC),keyword,public,biosample_accession_id,biosample_accession,sample accession,N/A,source_mat_id?,N/A,N/A,BioSample,BioSample Accession,N/A,N/A,ENA Sample,VJDB Sample,Organizational,Identifiers,N/A,"['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Identifiers']",NCBI Virus|BVBRC,N/A,N/A,N/A,BioSample,The BioSample accession number associated with the sequence.,N/A,N/A,DB Cross Reference,N/A,biosample_accession,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,text,unique,0ad
collection_date,Collection Date,Date when the sample was collected,date,public,collection_date,date,collection date,SEQUENCE. DATE_OF_SAMPLING,collection_date; has intervall,N/A,N/A,Collection Date,Collection Date,collection date,collection date,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",NCBI Virus|BVBRC,"would be ""Date"" but to make distinction as there are multiple dates",N/A,"Is public in VJDB, needs restructuring due to byCovid",Collection Date,The date when the virus sample was collected.,N/A,N/A,Isolate Info,Isolation Metadata,collection_date,string,N/A,N/A,"(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.",N/A,N/A,"(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.",N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,date,freetext,0ae
collection_country,Country,Country or sea area where the sample was collected,keyword,public,collection_country,country,geographic location (country and/or sea),N/A,geo_loc_name,N/A,N/A,Country,Isolation Country,geographic location (country and/or sea),geographic location (country and/or sea),ENA Sample,VJDB Sample,Sample,N/A,N/A,"['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample']",NCBI Virus|BVBRC,N/A,N/A,"Is public in VJDB, needs restructuring due to byCovid",Country,The country of specimen collection.,N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",Isolate Info,Isolation Metadata,isolation_country,string_ci,N/A,N/A,"(Mandatory) The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).",N/A,N/A,"(Mandatory) The location the sample was collected from with the intention of sequencing, as defined by the country or sea. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).",N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,N/A,N/A,combo,controlled_vocabulary,0af
sequence_title,GenBank Title,Title name of the sequnce based on GenBank entry,keyword,internal,sequence_title,N/A,N/A,N/A,N/A,N/A,N/A,GenBank Title,N/A,N/A,N/A,N/A,N/A,Sample,Sequence,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,N/A,N/A,N/A,GenBank Title,The title of the GenBank record associated with the sequence.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0ag
is_genbank_sequence,GenBank Sequence,This sequence is a GenBank sequence,boolean,public,is_genbank_sequence,N/A,N/A,N/A,N/A,N/A,N/A,GenBank/RefSeq,N/A,N/A,N/A,N/A,N/A,Sample,Sequence,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,N/A,N/A,N/A,GenBank/RefSeq,Specifies if the sequence is from GenBank or RefSeq database.,N/A,convert GenBank/RefSeq input to boolean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ah
is_reference_sequence,Reference Sequence,This sequence is a reference sequence,boolean,public,is_reference_sequence,refseq_flag,N/A,N/A,N/A,N/A,N/A,GenBank/RefSeq,Reference,N/A,N/A,N/A,N/A,Sample,Sequence,N/A,"['NCBI Virus', 'BV-BRC', 'Sample', 'Sequence']",NCBI Virus|BVBRC,N/A,N/A,N/A,GenBank/RefSeq,Specifies if the sequence is from GenBank or RefSeq database.,N/A,convert GenBank/RefSeq input to boolean,Type Info,N/A,reference_genome,string,N/A,"if reference sequence, value = ""Reference""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ai
collection_city,City,City where the sample was collected,keyword,public,collection_city,N/A,geographic location (region and locality),N/A,N/A,N/A,N/A,Geo Location,N/A,N/A,N/A,N/A,N/A,Sample,N/A,N/A,"['ENA', 'NCBI Virus', 'Sample']",NCBI Virus,N/A,N/A,"Not in VJDB, Completly new due to byCovid",Geo Location,"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list.",N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,text,freetext,0aj
